,periods_fast,periods_slow,end_value,return_ave,max_draw_downs,win_trades,loss_trades,total_trades,win_ratio,ave_win_value,ave_loss_value,ave_win_loss_ratio,return_rank,max_draw_downs_rank,win_ratio_rank,ave_win_loss_ratio_rank,rank
16,19,48,9627,-0.0005480115183928525,27.815940440272286,7,23,30,0.23333333333333334,558.2394718012728,-186.1345458255389,-2.999118026830453,131.0,218.0,8.0,10.0,91.75
131,15,49,10099,0.00010079421129848486,25.974432254409287,7,23,30,0.23333333333333334,647.0057667344607,-192.60821803712696,-3.359180482162732,211.0,180.0,8.0,4.0,100.75
116,16,35,9327,-0.0007637662589358268,29.502198663214802,9,27,36,0.25,547.2062993680134,-207.33199453355283,-2.639275721043904,113.0,257.0,18.0,42.0,107.5
228,12,39,10065,-2.6147446303225905e-05,27.338097753380133,10,29,39,0.2564102564102564,541.0749749584954,-184.33556299899018,-2.9352717736916536,191.0,207.0,20.0,14.0,108.0
201,13,37,10072,-1.812420137017274e-05,24.739814221287833,11,28,39,0.28205128205128205,463.2382570917791,-179.39893874371228,-2.5821683246050697,193.0,154.0,65.0,53.0,116.25
170,14,39,8735,-0.0014772258096942465,33.84774985019293,9,30,39,0.23076923076923078,509.84824529935094,-195.13269942578492,-2.612828330667676,56.0,356.0,6.0,48.0,116.5
417,6,24,10354,0.00011852324817186106,21.20997050218686,16,38,54,0.2962962962962963,371.4640918222797,-147.07755792899505,-2.5256340739734897,214.0,91.0,101.0,65.0,117.75
172,14,37,9211,-0.0009002684523528324,31.67963575508905,10,30,40,0.25,483.2034710174171,-187.37399554127674,-2.5788182059178637,101.0,299.0,18.0,55.0,118.25
29,19,35,8416,-0.0019221357526333913,37.41088288931024,9,34,43,0.20930232558139536,490.84278473396705,-176.53626958506612,-2.780407594924558,24.0,429.0,1.0,24.0,119.5
132,15,48,10612,0.0006394032151505188,24.557558242309735,8,22,30,0.26666666666666666,593.0224342151191,-187.82243930707298,-3.157356684339405,296.0,150.0,28.0,6.0,120.0
50,18,43,8676,-0.0016207903902231932,33.355139671027246,8,25,33,0.24242424242424243,529.2470987718976,-222.34387074884174,-2.380308919645156,43.0,338.0,10.0,104.0,123.75
171,14,38,9166,-0.0009541736615422819,31.760900691408036,10,29,39,0.2564102564102564,485.54553066822854,-196.21401328205823,-2.4745711203116536,98.0,303.0,20.0,75.0,124.0
87,17,35,8365,-0.0019473917311729815,33.86236961060637,9,29,38,0.23684210526315788,497.3267780671323,-210.73593350128724,-2.359952428635501,21.0,357.0,9.0,116.0,125.75
21,19,43,8427,-0.0019369671247540144,35.284888217940484,8,27,35,0.22857142857142856,515.4943085070846,-211.0107868986426,-2.4429760965476057,22.0,394.0,3.0,85.0,126.0
133,15,47,10795,0.000825719118812471,21.126433958225817,9,22,31,0.2903225806451613,494.9412998998821,-166.3143413990717,-2.9759387899824534,320.0,89.0,85.0,12.0,126.5
45,18,48,9912,-0.0001726771445401039,28.26349333387043,8,21,29,0.27586206896551724,511.7624779252473,-199.16205094712654,-2.569578268006036,176.0,228.0,47.0,57.0,127.0
30,19,34,8482,-0.0018370776869206888,37.34072672706873,9,31,40,0.225,500.45933951331426,-194.2797037843855,-2.575973350611711,31.0,426.0,2.0,56.0,128.75
303,10,22,10754,0.0005477251836167162,19.803054647215415,16,37,53,0.3018867924528302,395.82834656933846,-150.77214777311877,-2.625341300867977,279.0,74.0,123.0,45.0,130.25
58,18,35,8418,-0.0019196749023797988,35.564115285045006,9,30,39,0.23076923076923078,474.9913723438055,-195.25550059923668,-2.4326657681144086,25.0,403.0,6.0,90.0,131.0
238,12,29,10988,0.0010609512135299622,22.104808147867356,12,31,43,0.27906976744186046,470.30322260221124,-150.17397723183308,-3.131722494611529,355.0,107.0,59.0,7.0,132.0
117,16,34,9484,-0.000582623164055482,28.543111283678808,10,26,36,0.2777777777777778,489.2017065154447,-208.01490863465236,-2.3517627160784693,124.0,233.0,56.0,120.0,133.25
246,12,21,11344,0.0011815104143979432,16.968289246518026,18,42,60,0.3,402.5833846709456,-140.53550900966042,-2.8646381794032707,372.0,24.0,121.0,19.0,134.0
379,7,33,9911,-5.028088923304996e-05,30.634697835664326,13,35,48,0.2708333333333333,430.66006625536653,-162.5117583280116,-2.650024039405985,187.0,275.0,37.0,37.0,134.0
380,7,32,10151,0.00025999332478433926,28.716742012864117,13,35,48,0.2708333333333333,458.9176606916142,-166.12308680385928,-2.762515852076936,236.0,239.0,37.0,25.0,134.25
161,14,48,10658,0.0006865868824121108,20.648538401537582,9,21,30,0.3,493.43057839450546,-180.12491868325154,-2.739379881482139,304.0,86.0,121.0,27.0,134.5
425,5,45,9911,-1.4834570946937861e-06,30.71958981711327,11,30,41,0.2682926829268293,520.8771569708723,-193.97731070498176,-2.685247852327788,197.0,278.0,31.0,33.0,134.75
111,16,40,8247,-0.0021019180733706706,37.42203978422386,9,30,39,0.23076923076923078,489.7531028820338,-205.37507987281882,-2.3846763842298673,12.0,430.0,6.0,103.0,137.75
44,18,49,10008,-6.74101153669883e-05,28.126872547671596,8,20,28,0.2857142857142857,516.3415832280509,-206.12895534327117,-2.5049444527003772,184.0,224.0,75.0,69.0,138.0
217,13,21,11858,0.0018528133300211552,15.360715933576582,19,44,63,0.30158730158730157,408.83871754028155,-134.30562229731848,-3.0440923510649216,414.0,12.0,122.0,8.0,139.0
200,13,38,9037,-0.0011975286921943437,32.86187560477619,10,28,38,0.2631578947368421,475.56670027795064,-204.24728808633904,-2.328386852690646,78.0,327.0,25.0,137.0,141.75
431,5,39,9628,-0.00031636100917645157,31.546507820243647,12,32,44,0.2727272727272727,457.5685461327926,-183.23326262874153,-2.4971915009770695,156.0,297.0,43.0,71.0,141.75
134,15,46,11034,0.0010631995964982804,20.26435096435381,9,21,30,0.3,493.0075162205568,-162.0501180787453,-3.0423150693477976,356.0,82.0,121.0,9.0,142.0
